"날짜","종가","시가","고가","저가","거래량","변동 %"
"2021- 09- 16","1,039.43","1,047.85","1,048.37","1,037.72","1.13B","-0.32%"
"2021- 09- 17","1,046.12","1,040.73","1,046.13","1,033.69","1.16B","0.64%"
"2021- 09- 23","1,036.26","1,040.38","1,043.58","1,036.25","968.17M","-0.94%"
"2021- 09- 24","1,037.03","1,040.43","1,045.21","1,034.80","1.31B","0.07%"
"2021- 09- 27","1,034.82","1,037.21","1,039.63","1,031.93","1.05B","-0.21%"
"2021- 09- 28","1,012.51","1,034.04","1,034.07","1,012.51","1.40B","-2.16%"
"2021- 09- 29","1,001.46","994.61","1,004.85","989.07","1.31B","-1.09%"
"2021- 09- 30","1,003.27","1,001.92","1,010.03","999.58","1.29B","0.18%"
"2021- 10- 01","983.20","998.70","1,002.68","982.26","1.37B","-2.00%"
"2021- 10- 05","955.37","974.24","974.24","950.09","1.35B","-2.83%"
"2021- 10- 06","922.36","962.62","967.67","922.36","1.65B","-3.46%"
"2021- 10- 07","953.43","932.65","953.48","932.32","1.35B","3.37%"
"2021- 10- 08","953.11","959.81","961.72","948.02","1.34B","-0.03%"
"2021- 10- 12","940.15","951.12","951.12","936.95","1.14B","-1.36%"
"2021- 10- 13","953.47","939.40","954.63","939.28","1.05B","1.42%"
"2021- 10- 14","983.43","960.58","983.63","960.52","1.19B","3.14%"
"2021- 10- 15","990.54","990.24","992.16","981.83","1.37B","0.72%"
"2021- 10- 18","993.86","992.57","997.92","985.14","1.19B","0.34%"
"2021- 10- 19","1,005.35","997.57","1,005.35","997.10","1.38B","1.16%"
"2021- 10- 20","1,001.62","1,009.11","1,011.55","1,001.10","1.55B","-0.37%"
"2021- 10- 21","993.70","1,003.48","1,004.61","992.04","1.56B","-0.79%"
"2021- 10- 22","995.07","992.22","1,000.15","989.43","1.16B","0.14%"
"2021- 10- 25","994.31","994.75","995.39","986.55","1.06B","-0.08%"
"2021- 10- 26","1,011.76","1,000.32","1,011.76","1,000.29","1.33B","1.75%"
"2021- 10- 27","1,008.95","1,012.91","1,013.17","1,006.03","1.27B","-0.28%"
"2021- 10- 28","1,000.13","1,008.93","1,011.50","999.59","1.31B","-0.87%"
"2021- 10- 29","992.33","1,004.91","1,005.19","991.03","1.32B","-0.78%"
"2021- 11- 01","998.57","995.56","1,001.25","994.28","1.17B","0.63%"
"2021- 11- 02","1,009.44","1,000.96","1,012.20","1,000.96","1.40B","1.09%"
"2021- 11- 03","1,005.00","1,011.20","1,013.68","1,003.66","1.10B","-0.44%"
"2021- 11- 04","1,001.43","1,012.62","1,015.72","995.73","1.23B","-0.36%"
"2021- 11- 05","1,001.35","1,006.04","1,006.04","995.35","1.25B","-0.01%"
"2021- 11- 08","1,002.50","999.08","1,003.18","988.36","1.25B","0.11%"
"2021- 11- 09","1,008.68","1,002.51","1,010.79","1,002.51","1.25B","0.62%"
"2021- 11- 10","987.75","1,006.59","1,006.90","983.82","1.48B","-2.07%"
"2021- 11- 11","992.65","981.42","994.69","979.68","1.11B","0.50%"
"2021- 11- 12","1,009.07","999.29","1,009.15","998.14","856.02M","1.65%"
"2021- 11- 15","1,029.03","1,016.35","1,029.07","1,016.16","932.60M","1.98%"
"2021- 11- 16","1,035.46","1,029.35","1,035.98","1,027.07","995.27M","0.62%"
"2021- 11- 17","1,031.26","1,039.36","1,039.36","1,028.02","1.41B","-0.41%"
"2021- 11- 18","1,032.77","1,033.16","1,034.51","1,018.13","1.47B","0.15%"
"2021- 11- 19","1,041.92","1,032.07","1,042.40","1,029.54","1.27B","0.89%"
"2021- 11- 22","1,032.31","1,043.55","1,045.36","1,023.13","1.32B","-0.92%"
"2021- 11- 23","1,013.72","1,024.33","1,029.08","1,012.95","1.04B","-1.80%"
"2021- 11- 24","1,020.13","1,015.23","1,021.13","1,003.19","1.02B","0.63%"
"2021- 11- 25","1,015.66","1,023.41","1,025.90","1,015.62","1.10B","-0.44%"
"2021- 11- 26","1,005.89","1,017.90","1,021.15","999.40","1.24B","-0.96%"
"2021- 11- 29","992.34","986.64","1,002.79","980.26","1.35B","-1.35%"
"2021- 11- 30","965.63","1,003.04","1,004.83","960.84","1.36B","-2.69%"
"2021- 12- 01","977.15","969.90","977.73","949.86","1.08B","1.19%"
"2021- 12- 02","977.43","967.34","978.16","961.98","1.09B","0.03%"
"2021- 12- 03","998.47","981.65","998.49","977.91","1.21B","2.15%"
"2021- 12- 06","991.87","990.07","994.15","980.87","1.06B","-0.66%"
